Name,votes,area,vol
lh_S_collat_transv_post,500,0,0
lh_S_front_inf,500,0,0
lh_S_front_middle,500,0,0
lh_S_front_sup,500,0,0
lh_S_interm_prim-Jensen,500,0,0
lh_S_intrapariet_and_P_trans,500,0,0
lh_S_oc_middle_and_Lunatus,500,0,0
lh_S_precentral-inf-part,500,0,0
lh_S_oc-temp_lat,500,0,0
lh_S_occipital_ant,500,0,0
lh_S_oc-temp_med_and_Lingual,500,0,0
lh_S_orbital_lateral,500,0,0
lh_S_central,500,0,0
lh_G_temp_sup-Plan_tempo,500,0,0
lh_S_postcentral,500,0,0
rh_S_cingul-Marginalis,500,0,0
rh_G_precuneus,500,0,0
rh_G_temp_sup-Plan_polar,500,0,0
rh_Lat_Fis-ant-Vertical,500,0,0
rh_G_temporal_inf,500,0,0
rh_S_orbital-H_Shaped,500,0,0
rh_S_oc_middle_and_Lunatus,500,0,0
lh_G_occipital_middle,500,0,0
lh_G_temporal_inf,500,0,0
rh_S_calcarine,500,0,0
rh_G_and_S_subcentral,500,0,0
lh_S_oc_sup_and_transversal,500,0,0
lh_Lat_Fis-post,500,0,0
rh_G_and_S_paracentral,500,0,0
rh_G_and_S_occipital_inf,500,0,0
lh_S_temporal_transverse,500,0,0
rh_G_temp_sup-Lateral,500,0,0
rh_G_front_middle,500,0,0
rh_G_front_inf-Opercular,500,0,0
rh_G_insular_short,500,0,0
rh_G_occipital_middle,500,0,0
rh_G_cingul-Post-dorsal,500,0,0
rh_G_Ins_lg_and_S_cent_ins,500,0,0
rh_G_oc-temp_med-Lingual,500,0,0
lh_S_temporal_inf,500,0,0
rh_G_cingul-Post-ventral,500,0,0
rh_G_orbital,500,0,0
rh_G_postcentral,500,0,0
rh_S_oc_sup_and_transversal,500,0,0
rh_G_front_inf-Triangul,500,0,0
rh_G_front_inf-Orbital,500,0,0
rh_G_front_sup,500,0,0
rh_G_pariet_inf-Supramar,500,0,0
rh_G_precentral,500,0,0
rh_G_cuneus,500,0,0
rh_S_occipital_ant,500,0,0
rh_S_central,500,0,0
rh_Lat_Fis-ant-Horizont,500,0,0
rh_G_and_S_cingul-Mid-Post,500,0,0
rh_G_and_S_frontomargin,500,0,0
rh_G_and_S_cingul-Ant,500,0,0
rh_S_front_inf,500,0,0
rh_S_orbital_lateral,500,0,0
rh_S_oc-temp_med_and_Lingual,500,0,0
rh_Lat_Fis-post,500,0,0
rh_G_and_S_cingul-Mid-Ant,500,0,0
rh_G_temp_sup-G_T_transv,500,0,0
rh_G_rectus,500,0,0
rh_S_circular_insula_ant,500,0,0
rh_S_circular_insula_inf,500,0,0
rh_S_circular_insula_sup,500,0,0
rh_G_parietal_sup,500,0,0
rh_S_parieto_occipital,500,0,0
rh_S_front_middle,500,0,0
rh_S_front_sup,500,0,0
rh_S_interm_prim-Jensen,500,0,0
rh_S_intrapariet_and_P_trans,500,0,0
rh_S_collat_transv_ant,500,0,0
rh_S_subparietal,500,0,0
rh_S_precentral-sup-part,500,0,0
rh_S_temporal_sup,500,0,0
rh_S_postcentral,500,0,0
rh_G_temporal_middle,500,0,0
rh_S_precentral-inf-part,500,0,0
rh_S_temporal_transverse,500,0,0
lh_G_temp_sup-G_T_transv,503,0,3
rh_G_subcallosal,506,0,6
rh_S_collat_transv_post,507,0,7
rh_Pole_temporal,509,0,9
rh_S_suborbital,510,0,10
rh_S_orbital_med-olfact,512,0,12
lh_G_front_inf-Opercular,514,0,14
rh_G_oc-temp_lat-fusifor,515,0,15
rh_G_temp_sup-Plan_tempo,517,0,17
lh_G_orbital,518,0,18
